Map,Agent1,Agent2,Agent3,Agent4,Agent5,Rank,Avg_Winrate
Fracture,Omen,Clove,Jett,Deadlock,Sage,Ascendant,0.797403642524354
Fracture,Omen,Clove,Jett,Deadlock,Sage,Immortal,0.8012155866158407
Fracture,Omen,Clove,Jett,Deadlock,Sage,Radiant,0.8350148242270226
Fracture,Astra,Reyna,Clove,Jett,Deadlock,Iron,0.805747564591275
Fracture,Astra,Reyna,Clove,Jett,Deadlock,Bronze,0.8032486234646337
Fracture,Astra,Reyna,Clove,Jett,Deadlock,Silver,0.8023803473104617
Fracture,Astra,Reyna,Clove,Jett,Deadlock,Gold,0.8010461668784413
Fracture,Astra,Reyna,Clove,Jett,Deadlock,Platinum,0.7999661160525201
Fracture,Astra,Reyna,Clove,Jett,Deadlock,Diamond,0.8007073274036426
Fracture,Astra,Reyna,Clove,Jett,Deadlock,Ascendant,0.7984201609487506
Fracture,Astra,Reyna,Clove,Jett,Deadlock,Immortal,0.8162515883100381
Fracture,Astra,Reyna,Clove,Jett,Deadlock,Radiant,0.7981448538754765
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Iron,0.8076747141041931
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Bronze,0.8047310461668784
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Silver,0.8035662854722575
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Gold,0.8036509953409572
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Platinum,0.8041168996188055
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Diamond,0.8027403642524354
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Ascendant,0.8014697162219399
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Immortal,0.8024015247776366
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Radiant,0.8170986869970351
Fracture,Brimstone,Clove,Jett,Phoenix,Deadlock,Iron,0.8064675984752224
Fracture,Brimstone,Clove,Jett,Phoenix,Deadlock,Bronze,0.8081194409148666
Fracture,Brimstone,Clove,Jett,Phoenix,Deadlock,Silver,0.8090936044049133
Fracture,Brimstone,Clove,Jett,Phoenix,Deadlock,Gold,0.8093477340110122
Fracture,Brimstone,Clove,Jett,Phoenix,Deadlock,Platinum,0.8112325285895807
Fracture,Brimstone,Clove,Jett,Phoenix,Deadlock,Diamond,0.8110842863193561
Fracture,Brimstone,Clove,Jett,Phoenix,Deadlock,Ascendant,0.8105972045743329
Fracture,Brimstone,Clove,Jett,Phoenix,Deadlock,Immortal,0.82855569673867
Fracture,Brimstone,Clove,Jett,Phoenix,Deadlock,Radiant,0.7883608640406607
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Iron,0.8076747141041931
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Bronze,0.8047310461668784
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Silver,0.8035662854722575
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Gold,0.8036509953409572
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Platinum,0.8041168996188055
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Diamond,0.8027403642524354
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Ascendant,0.8014697162219399
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Immortal,0.8024015247776366
Fracture,Viper,Jett,Reyna,Clove,Deadlock,Radiant,0.8170986869970351
Fracture,Astra,Clove,Sage,Deadlock,Jett,Iron,0.8039474798814062
Fracture,Astra,Clove,Sage,Deadlock,Jett,Bronze,0.8022321050402372
Fracture,Astra,Clove,Sage,Deadlock,Jett,Silver,0.801702668360864
Fracture,Astra,Clove,Sage,Deadlock,Jett,Gold,0.8007920372723423
Fracture,Astra,Clove,Sage,Deadlock,Jett,Platinum,0.8000720033883947
Fracture,Astra,Clove,Sage,Deadlock,Jett,Diamond,0.8019356204997883
Fracture,Astra,Clove,Sage,Deadlock,Jett,Ascendant,0.7989495976281237
Fracture,Astra,Clove,Sage,Deadlock,Jett,Immortal,0.8360948750529437
Fracture,Astra,Clove,Sage,Deadlock,Jett,Radiant,0.8338712409995764
Fracture,Omen,Clove,Reyna,Sage,Jett,Iron,0.8067005506141466
Fracture,Omen,Clove,Reyna,Sage,Jett,Bronze,0.8030580262600593
Fracture,Omen,Clove,Reyna,Sage,Jett,Silver,0.8018720880982635
Fracture,Omen,Clove,Reyna,Sage,Jett,Gold,0.7995425667090217
Fracture,Omen,Clove,Reyna,Sage,Jett,Platinum,0.7979119017365524
Fracture,Omen,Clove,Reyna,Sage,Jett,Diamond,0.7945023295213892
Fracture,Omen,Clove,Reyna,Sage,Jett,Ascendant,0.7939517153748412
Fracture,Omen,Clove,Reyna,Sage,Jett,Immortal,0.778280389665396
Fracture,Omen,Clove,Reyna,Sage,Jett,Radiant,0.8337229987293521
Fracture,Omen,Clove,Reyna,Deadlock,Neon,Iron,0.8068487928843711
Fracture,Omen,Clove,Reyna,Deadlock,Neon,Bronze,0.800876747141042
Fracture,Omen,Clove,Reyna,Deadlock,Neon,Silver,0.7992884371029225
Fracture,Omen,Clove,Reyna,Deadlock,Neon,Gold,0.7993519695044473
Fracture,Omen,Clove,Reyna,Deadlock,Neon,Platinum,0.7986107581533248
Fracture,Omen,Clove,Reyna,Deadlock,Neon,Diamond,0.7995213892418467
Fracture,Omen,Clove,Reyna,Deadlock,Neon,Ascendant,0.7997119864464209
Fracture,Omen,Clove,Reyna,Deadlock,Neon,Immortal,0.7810546378653113
Fracture,Omen,Clove,Reyna,Deadlock,Neon,Radiant,0.8089030072003388
Fracture,Harbor,Clove,Sage,Reyna,Jett,Iron,0.806277001270648
Fracture,Harbor,Clove,Sage,Reyna,Jett,Bronze,0.8031639135959339
Fracture,Harbor,Clove,Sage,Reyna,Jett,Silver,0.7977848369335028
Fracture,Harbor,Clove,Sage,Reyna,Jett,Gold,0.7950741211351122
Fracture,Harbor,Clove,Sage,Reyna,Jett,Platinum,0.7861160525201185
Fracture,Harbor,Clove,Sage,Reyna,Jett,Diamond,0.7916645489199492
Fracture,Harbor,Clove,Sage,Reyna,Jett,Ascendant,0.7992884371029225
Fracture,Harbor,Clove,Sage,Reyna,Jett,Immortal,0.7787251164760696
Fracture,Harbor,Clove,Sage,Reyna,Jett,Radiant,0.7543074968233799
Fracture,Harbor,Clove,Sage,Jett,Reyna,Iron,0.806277001270648
Fracture,Harbor,Clove,Sage,Jett,Reyna,Bronze,0.8031639135959339
Fracture,Harbor,Clove,Sage,Jett,Reyna,Silver,0.7977848369335028
Fracture,Harbor,Clove,Sage,Jett,Reyna,Gold,0.7950741211351122
Fracture,Harbor,Clove,Sage,Jett,Reyna,Platinum,0.7861160525201185
Fracture,Harbor,Clove,Sage,Jett,Reyna,Diamond,0.7916645489199492
Fracture,Harbor,Clove,Sage,Jett,Reyna,Ascendant,0.7992884371029224
Fracture,Harbor,Clove,Sage,Jett,Reyna,Immortal,0.7787251164760696
Fracture,Harbor,Clove,Sage,Jett,Reyna,Radiant,0.7543074968233799
Fracture,Viper,Clove,Reyna,Tejo,Jett,Iron,1.0033756882676832
Fracture,Viper,Clove,Reyna,Tejo,Jett,Bronze,1.0019567979669632
Fracture,Viper,Clove,Reyna,Tejo,Jett,Silver,1.0021897501058874
Fracture,Viper,Clove,Reyna,Tejo,Jett,Gold,1.0014908936891147
Fracture,Viper,Clove,Reyna,Tejo,Jett,Platinum,1.0000296484540447
Fracture,Viper,Clove,Reyna,Tejo,Jett,Diamond,0.9977213045319779
Fracture,Viper,Clove,Reyna,Tejo,Jett,Ascendant,0.9953282507412113
Fracture,Viper,Clove,Reyna,Tejo,Jett,Immortal,0.9848665819567981
Fracture,Viper,Clove,Reyna,Tejo,Jett,Radiant,1.0133714527742481
Fracture,Astra,Reyna,Clove,Jett,Killjoy,Iron,0.8063828886065227
Fracture,Astra,Reyna,Clove,Jett,Killjoy,Bronze,0.8041168996188056
Fracture,Astra,Reyna,Clove,Jett,Killjoy,Silver,0.8024650571791614
Fracture,Astra,Reyna,Clove,Jett,Killjoy,Gold,0.8006861499364676
Fracture,Astra,Reyna,Clove,Jett,Killjoy,Platinum,0.7971071579839051
Fracture,Astra,Reyna,Clove,Jett,Killjoy,Diamond,0.7949470563320628
Fracture,Astra,Reyna,Clove,Jett,Killjoy,Ascendant,0.7940576027107158
Fracture,Astra,Reyna,Clove,Jett,Killjoy,Immortal,0.7944599745870394
Fracture,Astra,Reyna,Clove,Jett,Killjoy,Radiant,0.7862431173231681
Fracture,Viper,Clove,Reyna,Jett,Deadlock,Iron,0.8076747141041931
Fracture,Viper,Clove,Reyna,Jett,Deadlock,Bronze,0.8047310461668784
Fracture,Viper,Clove,Reyna,Jett,Deadlock,Silver,0.8035662854722575
Fracture,Viper,Clove,Reyna,Jett,Deadlock,Gold,0.8036509953409572
Fracture,Viper,Clove,Reyna,Jett,Deadlock,Platinum,0.8041168996188055
Fracture,Viper,Clove,Reyna,Jett,Deadlock,Diamond,0.8027403642524354
Fracture,Viper,Clove,Reyna,Jett,Deadlock,Ascendant,0.8014697162219399
Fracture,Viper,Clove,Reyna,Jett,Deadlock,Immortal,0.8024015247776366
Fracture,Viper,Clove,Reyna,Jett,Deadlock,Radiant,0.8170986869970351
Fracture,Clove,Deadlock,Jett,Cypher,Iso,Iron,0.8081406183820415
Fracture,Clove,Deadlock,Jett,Cypher,Iso,Bronze,0.806255823803473
Fracture,Clove,Deadlock,Jett,Cypher,Iso,Silver,0.8061499364675986
Fracture,Clove,Deadlock,Jett,Cypher,Iso,Gold,0.8067005506141465
Fracture,Clove,Deadlock,Jett,Cypher,Iso,Platinum,0.8087971198644641
Fracture,Clove,Deadlock,Jett,Cypher,Iso,Diamond,0.8135196950444727
Fracture,Clove,Deadlock,Jett,Cypher,Iso,Ascendant,0.8098348157560357
Fracture,Clove,Deadlock,Jett,Cypher,Iso,Immortal,0.8392714951291824
Fracture,Clove,Deadlock,Jett,Cypher,Iso,Radiant,0.8178398983481576
Fracture,Viper,Clove,Jett,Reyna,Sage,Iron,0.8066158407454468
Fracture,Viper,Clove,Jett,Reyna,Sage,Bronze,0.8050698856416773
Fracture,Viper,Clove,Jett,Reyna,Sage,Silver,0.8043922066920797
Fracture,Viper,Clove,Jett,Reyna,Sage,Gold,0.8040745446844558
Fracture,Viper,Clove,Jett,Reyna,Sage,Platinum,0.8029733163913596
Fracture,Viper,Clove,Jett,Reyna,Sage,Diamond,0.8003896653960186
Fracture,Viper,Clove,Jett,Reyna,Sage,Ascendant,0.7985472257518
Fracture,Viper,Clove,Jett,Reyna,Sage,Immortal,0.7993096145700974
Fracture,Viper,Clove,Jett,Reyna,Sage,Radiant,0.8515332486234646
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Iron,0.805747564591275
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Bronze,0.8032486234646337
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Silver,0.8023803473104617
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Gold,0.8010461668784413
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Platinum,0.7999661160525201
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Diamond,0.8007073274036426
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Ascendant,0.7984201609487506
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Immortal,0.8162515883100381
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Radiant,0.7981448538754765
Fracture,Astra,Clove,Sage,Jett,Sova,Iron,0.9973612875900042
Fracture,Astra,Clove,Sage,Jett,Sova,Bronze,0.9982083862770013
Fracture,Astra,Clove,Sage,Jett,Sova,Silver,0.9975095298602288
Fracture,Astra,Clove,Sage,Jett,Sova,Gold,0.9958576874205844
Fracture,Astra,Clove,Sage,Jett,Sova,Platinum,0.9941634900465903
Fracture,Astra,Clove,Sage,Jett,Sova,Diamond,0.9944176196526895
Fracture,Astra,Clove,Sage,Jett,Sova,Ascendant,0.9827276577721304
Fracture,Astra,Clove,Sage,Jett,Sova,Immortal,1.0329606099110547
Fracture,Astra,Clove,Sage,Jett,Sova,Radiant,1.0098348157560357
Fracture,Astra,Deadlock,Clove,Reyna,Jett,Iron,0.805747564591275
Fracture,Astra,Deadlock,Clove,Reyna,Jett,Bronze,0.8032486234646335
Fracture,Astra,Deadlock,Clove,Reyna,Jett,Silver,0.8023803473104617
Fracture,Astra,Deadlock,Clove,Reyna,Jett,Gold,0.8010461668784413
Fracture,Astra,Deadlock,Clove,Reyna,Jett,Platinum,0.79996611605252
Fracture,Astra,Deadlock,Clove,Reyna,Jett,Diamond,0.8007073274036426
Fracture,Astra,Deadlock,Clove,Reyna,Jett,Ascendant,0.7984201609487506
Fracture,Astra,Deadlock,Clove,Reyna,Jett,Immortal,0.8162515883100381
Fracture,Astra,Deadlock,Clove,Reyna,Jett,Radiant,0.7981448538754765
Fracture,Brimstone,Jett,Clove,Skye,Sage,Iron,1.0067005506141466
Fracture,Brimstone,Jett,Clove,Skye,Sage,Bronze,1.0069335027530708
Fracture,Brimstone,Jett,Clove,Skye,Sage,Silver,1.00718763235917
Fracture,Brimstone,Jett,Clove,Skye,Sage,Gold,1.007992376111817
Fracture,Brimstone,Jett,Clove,Skye,Sage,Platinum,1.0062558238034731
Fracture,Brimstone,Jett,Clove,Skye,Sage,Diamond,1.0070182126217704
Fracture,Brimstone,Jett,Clove,Skye,Sage,Ascendant,1.006001694197374
Fracture,Brimstone,Jett,Clove,Skye,Sage,Immortal,1.0048369335027532
Fracture,Brimstone,Jett,Clove,Skye,Sage,Radiant,1.0652774248199917
Fracture,Brimstone,Clove,Reyna,Jett,Deadlock,Iron,0.8111901736552308
Fracture,Brimstone,Clove,Reyna,Jett,Deadlock,Bronze,0.8098771706903853
Fracture,Brimstone,Clove,Reyna,Jett,Deadlock,Silver,0.809453621346887
Fracture,Brimstone,Clove,Reyna,Jett,Deadlock,Gold,0.8095383312155866
Fracture,Brimstone,Clove,Reyna,Jett,Deadlock,Platinum,0.8102583650995341
Fracture,Brimstone,Clove,Reyna,Jett,Deadlock,Diamond,0.8092630241423125
Fracture,Brimstone,Clove,Reyna,Jett,Deadlock,Ascendant,0.8083735705209657
Fracture,Brimstone,Clove,Reyna,Jett,Deadlock,Immortal,0.824574332909784
Fracture,Brimstone,Clove,Reyna,Jett,Deadlock,Radiant,0.8060228716645489
Fracture,Harbor,Jett,Clove,Cypher,Fade,Iron,1.000855569673867
Fracture,Harbor,Jett,Clove,Cypher,Fade,Bronze,0.9984201609487506
Fracture,Harbor,Jett,Clove,Cypher,Fade,Silver,0.9946717492587887
Fracture,Harbor,Jett,Clove,Cypher,Fade,Gold,0.992892842016095
Fracture,Harbor,Jett,Clove,Cypher,Fade,Platinum,0.9826641253706057
Fracture,Harbor,Jett,Clove,Cypher,Fade,Diamond,0.9916857263871242
Fracture,Harbor,Jett,Clove,Cypher,Fade,Ascendant,0.9895468022024567
Fracture,Harbor,Jett,Clove,Cypher,Fade,Immortal,0.9561287590004236
Fracture,Harbor,Jett,Clove,Cypher,Fade,Radiant,0.9163786531130877
Fracture,Omen,Clove,Sage,Jett,Neon,Iron,0.8033545108005083
Fracture,Omen,Clove,Sage,Jett,Neon,Bronze,0.8004108428631935
Fracture,Omen,Clove,Sage,Jett,Neon,Silver,0.7997755188479457
Fracture,Omen,Clove,Sage,Jett,Neon,Gold,0.7994790343074969
Fracture,Omen,Clove,Sage,Jett,Neon,Platinum,0.7965988987717069
Fracture,Omen,Clove,Sage,Jett,Neon,Diamond,0.7964294790343075
Fracture,Omen,Clove,Sage,Jett,Neon,Ascendant,0.7961118170266835
Fracture,Omen,Clove,Sage,Jett,Neon,Immortal,0.7816052520118594
Fracture,Omen,Clove,Sage,Jett,Neon,Radiant,0.8359254553155442
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Iron,0.8151291825497671
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Bronze,0.8115713680643796
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Silver,0.8093265565438374
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Gold,0.8089453621346887
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Platinum,0.8087759423972891
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Diamond,0.8083735705209657
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Ascendant,0.8106395595086828
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Immortal,0.8226048284625158
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Radiant,0.8001143583227446
Fracture,Clove,Reyna,Jett,Sage,Deadlock,Iron,0.813434985175773
Fracture,Clove,Reyna,Jett,Sage,Deadlock,Bronze,0.8110419313850064
Fracture,Clove,Reyna,Jett,Sage,Deadlock,Silver,0.8100677678949597
Fracture,Clove,Reyna,Jett,Sage,Deadlock,Gold,0.809728928420161
Fracture,Clove,Reyna,Jett,Sage,Deadlock,Platinum,0.8104913172384582
Fracture,Clove,Reyna,Jett,Sage,Deadlock,Diamond,0.8117831427361288
Fracture,Clove,Reyna,Jett,Sage,Deadlock,Ascendant,0.8120796272765778
Fracture,Clove,Reyna,Jett,Sage,Deadlock,Immortal,0.8413045319779754
Fracture,Clove,Reyna,Jett,Sage,Deadlock,Radiant,0.8464506565014824
Fracture,Omen,Reyna,Clove,Jett,Tejo,Iron,1.003460398136383
Fracture,Omen,Reyna,Clove,Jett,Tejo,Bronze,0.9999449385853452
Fracture,Omen,Reyna,Clove,Jett,Tejo,Silver,0.9996696315120712
Fracture,Omen,Reyna,Clove,Jett,Tejo,Gold,0.9969589157136807
Fracture,Omen,Reyna,Clove,Jett,Tejo,Platinum,0.9949682337992376
Fracture,Omen,Reyna,Clove,Jett,Tejo,Diamond,0.9918339686573485
Fracture,Omen,Reyna,Clove,Jett,Tejo,Ascendant,0.9907327403642525
Fracture,Omen,Reyna,Clove,Jett,Tejo,Immortal,0.9638373570520966
Fracture,Omen,Reyna,Clove,Jett,Tejo,Radiant,0.9955612028801357
Fracture,Astra,Clove,Jett,Raze,Sage,Iron,0.8023379923761118
Fracture,Astra,Clove,Jett,Raze,Sage,Bronze,0.8005379076662431
Fracture,Astra,Clove,Jett,Raze,Sage,Silver,0.7996484540448963
Fracture,Astra,Clove,Jett,Raze,Sage,Gold,0.797996611605252
Fracture,Astra,Clove,Jett,Raze,Sage,Platinum,0.796853028377806
Fracture,Astra,Clove,Jett,Raze,Sage,Diamond,0.7966624311732317
Fracture,Astra,Clove,Jett,Raze,Sage,Ascendant,0.7904150783566286
Fracture,Astra,Clove,Jett,Raze,Sage,Immortal,0.8169080897924609
Fracture,Astra,Clove,Jett,Raze,Sage,Radiant,0.8201905972045743
Fracture,Astra,Clove,Jett,Reyna,Sage,Iron,0.8046886912325285
Fracture,Astra,Clove,Jett,Reyna,Sage,Bronze,0.8035874629394325
Fracture,Astra,Clove,Jett,Reyna,Sage,Silver,0.8032062685302838
Fracture,Astra,Clove,Jett,Reyna,Sage,Gold,0.8014697162219397
Fracture,Astra,Clove,Jett,Reyna,Sage,Platinum,0.7988225328250741
Fracture,Astra,Clove,Jett,Reyna,Sage,Diamond,0.7983566285472258
Fracture,Astra,Clove,Jett,Reyna,Sage,Ascendant,0.7954976704786108
Fracture,Astra,Clove,Jett,Reyna,Sage,Immortal,0.813159678102499
Fracture,Astra,Clove,Jett,Reyna,Sage,Radiant,0.832579415501906
Fracture,Clove,Neon,Reyna,Sage,Cypher,Iron,0.8104066073697586
Fracture,Clove,Neon,Reyna,Sage,Cypher,Bronze,0.8082253282507412
Fracture,Clove,Neon,Reyna,Sage,Cypher,Silver,0.8083523930537908
Fracture,Clove,Neon,Reyna,Sage,Cypher,Gold,0.8089030072003387
Fracture,Clove,Neon,Reyna,Sage,Cypher,Platinum,0.8068699703515458
Fracture,Clove,Neon,Reyna,Sage,Cypher,Diamond,0.8111901736552308
Fracture,Clove,Neon,Reyna,Sage,Cypher,Ascendant,0.8079076662431174
Fracture,Clove,Neon,Reyna,Sage,Cypher,Immortal,0.8231977975434137
Fracture,Clove,Neon,Reyna,Sage,Cypher,Radiant,0.8543498517577298
Fracture,Clove,Deadlock,Cypher,Jett,Neon,Iron,0.8090300720033884
Fracture,Clove,Deadlock,Cypher,Jett,Neon,Bronze,0.8070817450232952
Fracture,Clove,Deadlock,Cypher,Jett,Neon,Silver,0.8071876323591699
Fracture,Clove,Deadlock,Cypher,Jett,Neon,Gold,0.8081829733163912
Fracture,Clove,Deadlock,Cypher,Jett,Neon,Platinum,0.80714527742482
Fracture,Clove,Deadlock,Cypher,Jett,Neon,Diamond,0.8127996611605253
Fracture,Clove,Deadlock,Cypher,Jett,Neon,Ascendant,0.8101524777636595
Fracture,Clove,Deadlock,Cypher,Jett,Neon,Immortal,0.8299322321050402
Fracture,Clove,Deadlock,Cypher,Jett,Neon,Radiant,0.8125031766200762
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Iron,0.805747564591275
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Bronze,0.8032486234646337
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Silver,0.8023803473104617
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Gold,0.8010461668784413
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Platinum,0.7999661160525201
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Diamond,0.8007073274036426
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Ascendant,0.7984201609487506
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Immortal,0.8162515883100381
Fracture,Astra,Clove,Reyna,Jett,Deadlock,Radiant,0.7981448538754765
Fracture,Harbor,Deadlock,Clove,Jett,Reyna,Iron,0.8073358746293943
Fracture,Harbor,Deadlock,Clove,Jett,Reyna,Bronze,0.8028250741211351
Fracture,Harbor,Deadlock,Clove,Jett,Reyna,Silver,0.7969589157136807
Fracture,Harbor,Deadlock,Clove,Jett,Reyna,Gold,0.7946505717916137
Fracture,Harbor,Deadlock,Clove,Jett,Reyna,Platinum,0.7872596357475645
Fracture,Harbor,Deadlock,Clove,Jett,Reyna,Diamond,0.7940152477763659
Fracture,Harbor,Deadlock,Clove,Jett,Reyna,Ascendant,0.8022109275730623
Fracture,Harbor,Deadlock,Clove,Jett,Reyna,Immortal,0.7818170266836086
Fracture,Harbor,Deadlock,Clove,Jett,Reyna,Radiant,0.7198729351969504
Fracture,Astra,Clove,Sage,Jett,Deadlock,Iron,0.8039474798814062
Fracture,Astra,Clove,Sage,Jett,Deadlock,Bronze,0.8022321050402372
Fracture,Astra,Clove,Sage,Jett,Deadlock,Silver,0.801702668360864
Fracture,Astra,Clove,Sage,Jett,Deadlock,Gold,0.8007920372723423
Fracture,Astra,Clove,Sage,Jett,Deadlock,Platinum,0.8000720033883947
Fracture,Astra,Clove,Sage,Jett,Deadlock,Diamond,0.8019356204997883
Fracture,Astra,Clove,Sage,Jett,Deadlock,Ascendant,0.7989495976281237
Fracture,Astra,Clove,Sage,Jett,Deadlock,Immortal,0.8360948750529437
Fracture,Astra,Clove,Sage,Jett,Deadlock,Radiant,0.8338712409995764
Fracture,Brimstone,Jett,Clove,Sage,Reyna,Iron,0.8101313002964845
Fracture,Brimstone,Jett,Clove,Sage,Reyna,Bronze,0.8102160101651843
Fracture,Brimstone,Jett,Clove,Sage,Reyna,Silver,0.8102795425667091
